D_INTERVIEW,Q165,Q166,Q167,Q168
840072115,1,1,1,1
840072116,1,1,1,1
840072117,2,2,2,2
840072118,1,1,1,1
840072119,2,1,1,2
840072120,1,1,1,1
840072121,1,1,1,1
840072122,1,1,1,1
840072123,2,2,2,2
840072124,2,2,2,2
840072125,1,2,1,1
840072126,1,1,1,1
840072127,1,1,1,1
840072128,1,1,1,1
840072129,1,1,1,1
840072130,1,1,1,1
840072131,1,1,1,1
840072132,1,1,1,1
840072133,1,1,1,1
840072134,1,2,2,2
840072135,1,1,1,1
840072136,2,2,2,2
840072137,1,1,1,1
840072138,1,1,1,2
840072139,1,1,1,1
840072140,1,1,2,1
840072141,1,2,1,2
840072142,1,1,1,1
840072143,1,1,1,1
